Catalyst	Product	TS	PCM-B97D_E	PCM-B97D_H	PCM-B97D_G	PCM-B97D_qG	SMD-B97D  	 SMD-M06-2X  	 PCM-M06-2X  	PCM-wB97XD 	B97D
5b	R	BP4'	-2667.041898	-2666.514570	-2666.564066	-2666.561782	-2667.080360	-2666.876947	-2666.836346	-2667.544206	-2666.977350
5b	R	BP5'	-2667.043250	-2666.515569	-2666.564111	-2666.562146	-2667.082177	-2666.878613	-2666.837610	-2667.545747	-2666.981075
5b	S	BP1	-2667.048051	-2666.520549	-2666.569569	-2666.567380	-2667.086271	-2666.885511	-2666.845165	-2667.551522	-2666.992243
5b	S	BP2	-2667.049819	-2666.522477	-2666.571936	-2666.569564	-2667.087781	-2666.886082	-2666.845968	-2667.553231	-2666.985352
5b	S	BP3	-2667.048819	-2666.521186	-2666.570020	-2666.567925	-2667.086148	-2666.883411	-2666.843988	-2667.551012	-2666.988869
5b	S	BP4	-2667.044951	-2666.517484	-2666.566639	-2666.564420	-2667.083343	-2666.880293	-2666.839759	-2667.547753	-2666.983370
5b	S	BP5	-2667.038220	-2666.510660	-2666.559597	-2666.557488	-2667.077032	-2666.872132	-2666.831068	-2667.539506	-2666.974360
5b	S	BP1'	-2667.047584	-2666.520313	-2666.569527	-2666.567207	-2667.085820	-2666.885280	-2666.844958	-2667.551239	-2666.991603
5b	S	BP2'	-2667.051238	-2666.523516	-2666.571827	-2666.569920	-2667.087562	-2666.885271	-2666.846855	-2667.554069	-2666.987575
5b	S	BP3'	-2667.048694	-2666.520790	-2666.568950	-2666.567061	-2667.087127	-2666.883480	-2666.843010	-2667.550925	-2666.987807
5b	S	BP4'	-2667.043801	-2666.516085	-2666.564904	-2666.562810	-2667.082143	-2666.878749	-2666.838275	-2667.546123	-2666.982546
5b	S	BP5'	-2667.032874	-2666.504912	-2666.553757	-2666.551635	-2667.071910	-2666.863811	-2666.822556	-2667.532243	-2666.967059
5c	R	BP1	-2858.922770	-2858.326378	-2858.380588	-2858.377188	-2858.963352	-2858.752609	-2858.709915	-2859.500860	-2858.867538
5c	R	BP2	-2858.923918	-2858.326736	-2858.379346	-2858.376686	-2858.963466	-2858.750530	-2858.708903	-2859.500911	-2858.865463
5c	R	BP3	-2858.925722	-2858.328720	-2858.382227	-2858.379146	-2858.966097	-2858.753938	-2858.711358	-2859.502648	-2858.862406
5c	R	BP4	-2858.913723	-2858.317065	-2858.370417	-2858.367501	-2858.954466	-2858.739400	-2858.696441	-2859.489898	-2858.851807
5c	R	BP5	-2858.922423	-2858.325669	-2858.378267	-2858.375648	-2858.962515	-2858.749657	-2858.707504	-2859.500226	-2858.862221
5c	R	BP1'	-2858.924331	-2858.327515	-2858.380190	-2858.377495	-2858.964285	-2858.752706	-2858.710619	-2859.502147	-2858.869066
5c	R	BP2'	-2858.922537	-2858.325297	-2858.377137	-2858.374835	-2858.963118	-2858.746012	-2858.703308	-2859.498444	-2858.861723
5c	R	BP3'	-2858.928093	-2858.330607	-2858.381789	-2858.379708	-2858.966241	-2858.752757	-2858.712481	-2859.505293	-2858.864755
5c	R	BP4'	-2858.907930	-2858.311076	-2858.364850	-2858.361659	-2858.950010	-2858.731755	-2858.687257	-2859.482150	-2858.842867
5c	R	BP5'	-2858.918798	-2858.321923	-2858.375070	-2858.372193	-2858.959532	-2858.745741	-2858.702884	-2859.495992	-2858.858417
5c	S	BP1	-2858.922924	-2858.326022	-2858.378298	-2858.375810	-2858.963519	-2858.752262	-2858.709530	-2859.501015	-2858.867387
5c	S	BP2	-2858.916016	-2858.319411	-2858.372755	-2858.369801	-2858.956402	-2858.743938	-2858.701332	-2859.492651	-2858.856148
5c	S	BP3	-2858.926945	-2858.330366	-2858.383877	-2858.380778	-2858.966935	-2858.755727	-2858.713575	-2859.505204	-2858.867418
5c	S	BP4	-2858.918695	-2858.321892	-2858.374889	-2858.372108	-2858.958874	-2858.745621	-2858.703363	-2859.496098	-2858.859820
5c	S	BP5	-2858.919673	-2858.322119	-2858.374670	-2858.371998	-2858.960488	-2858.745747	-2858.702736	-2859.495384	-2858.855203
5c	S	BP1'	-2858.925064	-2858.328177	-2858.380488	-2858.377966	-2858.964776	-2858.753277	-2858.711449	-2859.503074	-2858.870132
5c	S	BP2'	-2858.913608	-2858.316435	-2858.369497	-2858.366603	-2858.954905	-2858.740399	-2858.696738	-2859.488680	-2858.850899
5c	S	BP3'	-2858.929374	-2858.332393	-2858.384503	-2858.382108	-2858.968041	-2858.755276	-2858.714496	-2859.507031	-2858.869537
5c	S	BP4'	-2858.919355	-2858.321742	-2858.373620	-2858.371215	-2858.960145	-2858.745304	-2858.702438	-2859.495957	-2858.856881
5c	S	BP5'	-2858.917174	-2858.320287	-2858.373473	-2858.370580	-2858.958108	-2858.744255	-2858.701199	-2859.494252	-2858.853771
6	R	BP1	-3009.100582	-3008.504761	-3008.577317	-3008.572711	-3009.136676	-3008.918376	-3008.879017	-3009.714607	-3009.033298
6	R	BP2	-3009.109183	-3008.513108	-3008.585129	-3008.580786	-3009.145454	-3008.928388	-3008.888898	-3009.724242	-3009.035788
6	R	BP3	-3009.097243	-3008.501115	-3008.572723	-3008.568430	-3009.133904	-3008.915028	-3008.875226	-3009.709973	-3009.023515
6	R	BP4	-3009.093786	-3008.498021	-3008.570836	-3008.566162	-3009.131572	-3008.909918	-3008.868876	-3009.707032	-3009.015570
6	R	BP5	-3009.100227	-3008.504139	-3008.576089	-3008.571759	-3009.137277	-3008.917283	-3008.876970	-3009.714585	-3009.024979
6	S	BP1	-3009.106036	-3008.510478	-3008.582874	-3008.578322	-3009.142609	-3008.926886	-3008.886710	-3009.721656	-3009.038958
6	S	BP2	-3009.106386	-3008.510556	-3008.582910	-3008.578387	-3009.143189	-3008.924997	-3008.884879	-3009.721405	-3009.028134
6	S	BP3	-3009.106011	-3008.509763	-3008.581401	-3008.577163	-3009.142602	-3008.923026	-3008.883396	-3009.719570	-3009.033091
6	S	BP4	-3009.093757	-3008.497736	-3008.569802	-3008.565358	-3009.130901	-3008.908780	-3008.868248	-3009.706176	-3009.019655
6	S	BP5	-3009.095090	-3008.499258	-3008.571771	-3008.567264	-3009.132985	-3008.910240	NA	-3009.707218	-3009.015920
7a-R	S	BP1	-2861.073688	-2860.443574	-2860.515561	-2860.511471	-2861.113363	-2860.911286	-2860.869248	-2861.663004	-2861.020121
7a-R	S	BP2	-2861.075342	-2860.444661	-2860.515734	-2860.511967	-2861.114796	-2860.912002	-2860.870238	-2861.663764	-2861.017920
7a-R	S	BP3	-2861.065161	-2860.434429	-2860.505244	-2860.501639	-2861.104445	-2860.898926	-2860.857383	-2861.651017	-2861.006295
7a-R	S	BP4	-2861.064611	-2860.433772	-2860.505367	-2860.501273	-2861.105809	-2860.899870	-2860.856217	-2861.651223	-2861.002684
7a-R	S	BP5	-2861.065100	-2860.434630	-2860.505224	-2860.501771	-2861.105006	-2860.898080	-2860.855813	-2861.652350	-2861.005846
7a-R	S	BP1'	-2861.072382	-2860.441715	-2860.512626	-2860.508885	-2861.112053	-2860.908370	-2860.866156	-2861.660627	-2861.018451
7a-R	S	BP2'	-2861.074639	-2860.444516	-2860.517330	-2860.512739	-2861.114501	-2860.910057	-2860.867779	-2861.662298	-2861.017405
7a-R	S	BP3'	NA	NA	NA	NA	NA	NA	NA	NA	NA
7a-R	S	BP4'	-2861.068048	-2860.437622	-2860.509005	-2860.505149	-2861.107661	-2860.902275	-2860.860453	-2861.656731	-2861.007205
7a-R	S	BP5'	NA	NA	NA	NA	NA	NA	NA	NA	NA
7a-R	R	BP1	-2861.073163	-2860.442914	-2860.515058	-2860.510881	-2861.113206	-2860.910846	-2860.868395	-2861.661804	-2861.019369
7a-R	R	BP2	-2861.071773	-2860.441224	-2860.512119	-2860.508385	-2861.111691	-2860.906871	-2860.864557	-2861.658992	-2861.011055
7a-R	R	BP3	NA	NA	NA	NA	NA	NA	NA	NA	NA
7a-R	R	BP4	-2861.067892	-2860.437521	-2860.508961	-2860.505047	-2861.108113	-2860.903256	-2860.860614	-2861.655597	-2861.009422
7a-R	R	BP5	-2861.060279	-2860.429681	-2860.500643	-2860.497016	-2861.100781	-2860.891785	-2860.848994	-2861.645819	-2860.998565
7a-R	R	BP1'	-2861.074692	-2860.444071	-2860.514597	-2860.511066	-2861.114135	-2860.912484	-2860.870527	-2861.664226	-2861.020793
7a-R	R	BP2'	-2861.070763	-2860.440025	-2860.511066	-2860.507333	-2861.110174	-2860.905444	-2860.863728	-2861.659308	-2861.010496
7a-R	R	BP3'	NA	NA	NA	NA	NA	NA	NA	NA	NA
7a-R	R	BP4'	-2861.068260	-2860.437631	-2860.508699	-2860.504823	-2861.107860	-2860.901858	-2860.859875	-2861.655678	-2861.009975
7a-R	R	BP5'	NA	NA	NA	NA	NA	NA	NA	NA	NA
7a-S	S	BP1	-2861.08	-2860.47	-2860.45	-2860.52	-2860.52	-2861.1201	-2860.919	-2860.8768	-2861.67
7a-S	S	BP2	-2861.08	-2860.47	-2860.45	-2860.52	-2860.51	-2861.117	-2860.9133	-2860.8719	-2861.67
7a-S	S	BP3	-2861.08	-2860.48	-2860.45	-2860.52	-2860.52	-2861.1207	-2860.917	-2860.8766	-2861.67
7a-S	S	BP4	-2861.08	-2860.47	-2860.44	-2860.52	-2860.51	-2861.115	-2860.9109	-2860.8689	-2861.66
7a-S	S	BP5	-2861.07	-2860.46	-2860.44	-2860.51	-2860.51	-2861.1096	-2860.903	-2860.8613	-2861.66
7a-S	S	BP1'	-2861.08	-2860.48	-2860.45	-2860.52	-2860.52	-2861.121	-2860.9203	-2860.8787	-2861.67
7a-S	S	BP2'	-2861.08	-2860.47	-2860.45	-2860.52	-2860.52	-2861.1183	-2860.9154	-2860.8746	-2861.67
7a-S	S	BP3'	NA	NA	NA	NA	NA	NA	NA	NA	NA
7a-S	S	BP4'	-2861.07	-2860.47	-2860.44	-2860.52	-2860.51	-2861.1149	-2860.9099	-2860.8676	-2861.66
7a-S	S	BP5'	NA	NA	NA	NA	NA	NA	NA	NA	NA
7a-S	R	BP1	-2861.08	-2860.48	-2860.45	-2860.52	-2860.52	-2861.1203	-2860.9188	-2860.8772	-2861.67
7a-S	R	BP2	NA	NA	NA	NA	NA	-2861.1217	-2860.9205	-2860.8794	-2861.67
7a-S	R	BP3	-2861.07	-2860.47	-2860.44	-2860.51	-2860.51	-2861.1135	-2860.9106	-2860.8696	-2861.66
7a-S	R	BP4	-2861.07	-2860.47	-2860.44	-2860.51	-2860.51	-2861.111	-2860.9056	-2860.8628	-2861.66
7a-S	R	BP5	-2861.08	-2860.47	-2860.45	-2860.52	-2860.51	-2861.1148	-2860.9113	-2860.8703	-2861.67
7a-S	R	BP1'	-2861.08	-2860.48	-2860.45	-2860.52	-2860.52	-2861.1199	-2860.9181	-2860.8765	-2861.67
7a-S	R	BP2'	-2861.08	-2860.48	-2860.45	-2860.52	-2860.52	-2861.1225	-2860.9198	-2860.8781	-2861.67
7a-S	R	BP3'	NA	NA	NA	NA	NA	NA	NA	NA	NA
7a-S	R	BP4'	-2861.07	-2860.47	-2860.44	-2860.52	-2860.51	-2861.1145	-2860.9099	-2860.8674	-2861.66
7a-S	R	BP5'	-2861.07	-2860.47	-2860.44	-2860.51	-2860.51	-2861.1143	-2860.9094	-2860.8664	-2861.66
7b-R	S	BP1	-2978.970700	-2978.254178	-2978.330703	-2978.326365	-2979.011766	-2978.789381	-2978.745991	-2979.609696	-2978.917830
7b-R	S	BP2	-2978.976095	-2978.259397	-2978.336985	-2978.332119	-2979.018227	-2978.795362	-2978.750944	-2979.615551	-2978.919097
7b-R	S	BP3	-2978.964749	-2978.248486	-2978.325708	-2978.321132	-2979.006362	-2978.781807	-2978.737934	-2979.601564	-2978.907016
7b-R	S	BP4	-2978.967020	-2978.250256	-2978.327470	-2978.323001	-2979.009370	-2978.783475	-2978.738797	-2979.605102	-2978.905803
7b-R	S	BP5	-2978.964598	-2978.248130	-2978.325671	-2978.321027	-2979.006450	-2978.780639	-2978.736423	-2979.602551	-2978.906095
7b-R	S	BP1'	-2978.973237	-2978.256369	-2978.333504	-2978.328804	-2979.015324	-2978.791042	-2978.746358	-2979.612368	-2978.919845
7b-R	S	BP2'	-2978.975724	-2978.259083	-2978.337329	-2978.332291	-2979.017370	-2978.793332	-2978.749361	-2979.614821	-2978.919347
7b-R	S	BP3'	NA	NA	NA	NA	NA	NA	NA	NA	NA
7b-R	S	BP4'	-2978.967443	-2978.250595	-2978.328382	-2978.323573	-2979.009511	-2978.785120	-2978.740836	-2979.606929	-2978.907665
7b-R	S	BP5'	NA	NA	NA	NA	NA	NA	NA	NA	NA
7b-R	R	BP1	-2978.974946	-2978.258305	-2978.335385	-2978.330823	-2979.016639	-2978.794315	-2978.750297	-2979.614776	-2978.921307
7b-R	R	BP2	-2978.971764	-2978.255091	-2978.333145	-2978.328117	-2979.014169	-2978.788804	-2978.743995	-2979.609558	-2978.911655
7b-R	R	BP3	-2978.971699	-2978.255195	-2978.332689	-2978.327940	-2979.013102	-2978.787505	-2978.743963	-2979.609550	-2978.915417
7b-R	R	BP4	-2978.965156	-2978.248453	-2978.325461	-2978.320897	-2979.006727	-2978.783114	-2978.739105	-2979.604119	-2978.907952
7b-R	R	BP5	-2978.957301	-2978.240429	-2978.317960	-2978.313230	-2979.000072	-2978.772207	-2978.727208	-2979.593908	-2978.896399
7b-R	R	BP1'	-2978.971419	-2978.254925	-2978.331670	-2978.327270	-2979.012811	-2978.792360	-2978.748497	-2979.611705	-2978.918462
7b-R	R	BP2'	-2978.971723	-2978.255296	-2978.333052	-2978.328301	-2979.012812	-2978.789148	-2978.745796	-2979.611165	-2978.912871
7b-R	R	BP3'	NA	NA	NA	NA	NA	NA	NA	NA	NA
7b-R	R	BP4'	-2978.968144	-2978.251392	-2978.328891	-2978.324177	-2979.009963	-2978.784799	-2978.740628	-2979.606604	-2978.910839
7b-R	R	BP5'	NA	NA	NA	NA	NA	NA	NA	NA	NA
7b-S	S	BP1	-2978.98	-2978.29	-2978.27	-2978.34	-2978.34	-2979.0237	-2978.8028	-2978.7594	-2979.62
7b-S	S	BP2	-2978.98	-2978.29	-2978.26	-2978.34	-2978.34	-2979.0212	-2978.7975	-2978.7533	-2979.62
7b-S	S	BP3	-2978.98	-2978.29	-2978.27	-2978.34	-2978.34	-2979.0225	-2978.7997	-2978.7568	-2979.62
7b-S	S	BP4	-2978.97	-2978.28	-2978.25	-2978.33	-2978.33	-2979.0119	-2978.7877	-2978.7435	-2979.61
7b-S	S	BP5	-2978.96	-2978.28	-2978.25	-2978.33	-2978.32	-2979.0055	-2978.7595	-2978.7155	-2979.59
7b-S	S	BP1'	-2978.98	-2978.29	-2978.27	-2978.34	-2978.34	-2979.0234	-2978.8033	-2978.7594	-2979.62
7b-S	S	BP2'	-2978.98	-2978.29	-2978.26	-2978.34	-2978.34	-2979.0202	-2978.7983	-2978.7553	-2979.62
7b-S	S	BP3'	NA	NA	NA	NA	NA	NA	NA	NA	NA
7b-S	S	BP4'	-2978.97	-2978.29	-2978.26	-2978.34	-2978.33	-2979.0164	-2978.7925	-2978.7478	-2979.61
7b-S	S	BP5'	NA	NA	NA	NA	NA	NA	NA	NA	NA
7b-S	R	BP1	-2978.98	-2978.29	-2978.27	-2978.34	-2978.34	-2979.024	-2978.8025	-2978.7595	-2979.63
7b-S	R	BP2	-2978.98	-2978.29	-2978.27	-2978.34	-2978.34	-2979.0247	-2978.8035	-2978.7599	-2979.62
7b-S	R	BP3	NA	NA	NA	NA	NA	NA	NA	NA	NA
7b-S	R	BP4	NA	NA	NA	NA	NA	NA	NA	NA	NA
7b-S	R	BP5	-2978.98	-2978.29	-2978.26	-2978.34	-2978.33	-2979.0165	-2978.7933	-2978.7497	-2979.62
7b-S	R	BP1'	-2978.98	-2978.29	-2978.26	-2978.34	-2978.34	-2979.0222	-2978.8005	-2978.7563	-2979.62
7b-S	R	BP2'	-2978.98	-2978.29	-2978.27	-2978.34	-2978.34	-2979.0241	-2978.8023	-2978.7581	-2979.62
7b-S	R	BP3'	NA	NA	NA	NA	NA	NA	NA	NA	NA
7b-S	R	BP4'	-2978.97	-2978.28	-2978.26	-2978.34	-2978.33	-2979.0158	-2978.7924	-2978.7478	-2979.61
7b-S	R	BP5'	-2978.97	-2978.28	-2978.25	-2978.33	-2978.32	-2979.01	-2978.7862	-2978.7411	-2979.61
7c-R	S	BP1	-2939.672480	-2938.984824	-2939.059504	-2939.056279	-2939.712372	-2939.495487	-2939.453291	-2940.293680	-2939.619435
7c-R	S	BP2	-2939.673552	-2938.985762	-2939.060634	-2939.055255	-2939.713814	-2939.497415	-2939.454903	-2940.294537	-2939.616711
7c-R	S	BP3	-2939.662225	-2938.974288	-2939.048104	-2939.054702	-2939.702451	-2939.483378	-2939.440955	-2940.280685	-2939.604290
7c-R	S	BP4	-2939.661816	-2938.973460	-2939.047333	-2939.052424	-2939.703241	-2939.483131	-2939.439332	-2940.280774	-2939.601147
7c-R	S	BP5	-2939.662399	-2938.974170	-2939.047252	-2939.048395	-2939.702866	-2939.482558	-2939.439767	-2940.281876	-2939.603886
7c-R	S	BP1'	-2939.670994	-2938.982802	-2939.056276	-2939.045970	-2939.711221	-2939.493491	-2939.450811	-2940.291504	-2939.617550
7c-R	S	BP2'	-2939.672322	-2938.984485	-2939.058821	-2939.044261	-2939.712823	-2939.494081	-2939.451280	-2940.292188	-2939.615829
7c-R	S	BP3'	NA	NA	NA	NA	NA	NA	NA	NA	NA
7c-R	S	BP4'	-2939.666051	-2938.978079	-2939.052457	-2939.048395	-2939.707038	-2939.487351	-2939.444220	-2940.286701	-2939.606162
7c-R	S	BP5'	-2939.664445	-2938.976008	-2939.050070	-2939.045970	-2939.705430	-2939.484575	-2939.441357	-2940.283478	-2939.608333
7c-R	R	BP1	-2939.673062	-2938.985322	-2939.060143	-2939.055823	-2939.713498	-2939.496901	-2939.454151	-2940.294099	-2939.619758
7c-R	R	BP2	-2939.670260	-2938.982115	-2939.055527	-2939.051720	-2939.710849	-2939.491764	-2939.448866	-2940.289738	-2939.610291
7c-R	R	BP3	NA	NA	NA	NA	NA	NA	NA	NA	NA
7c-R	R	BP4	-2939.662795	-2938.974768	-2939.050198	-2939.045451	-2939.703612	-2939.483971	-2939.440789	-2940.282383	-2939.605478
7c-R	R	BP5	-2939.657639	-2938.969536	-2939.043589	-2939.039636	-2939.698714	-2939.477923	-2939.434623	-2940.276545	-2939.597560
7c-R	R	BP1'	-2939.673274	-2938.985347	-2939.059041	-2939.055188	-2939.713564	-2939.497985	-2939.455222	-2940.295130	-2939.619837
7c-R	R	BP2'	NA	NA	NA	NA	NA	NA	NA	NA	NA
7c-R	R	BP3'	NA	NA	NA	NA	NA	NA	NA	NA	NA
7c-R	R	BP4'	-2939.666145	-2938.978010	-2939.051905	-2939.047881	-2939.706898	-2939.486793	-2939.443723	-2940.285748	-2939.608712
7c-R	R	BP5'	NA	NA	NA	NA	NA	NA	NA	NA	NA
7c-S	S	BP1	-2939.68	-2939.02	-2938.99	-2939.06	-2939.06	-2939.7168	-2939.5033	-2939.4608	-2940.3
7c-S	S	BP2	-2939.67	-2939.01	-2938.98	-2939.06	-2939.05	-2939.7116	-2939.4937	-2939.4514	-2940.29
7c-S	S	BP3	-2939.68	-2939.01	-2938.99	-2939.06	-2939.06	-2939.7157	-2939.4984	-2939.4571	-2940.3
7c-S	S	BP4	-2939.67	-2939.01	-2938.98	-2939.06	-2939.05	-2939.7098	-2939.492	-2939.4492	-2940.29
7c-S	S	BP5	-2939.66	-2939	-2938.98	-2939.05	-2939.05	-2939.7043	-2939.4842	-2939.4418	-2940.28
7c-S	S	BP1'	-2939.68	-2939.01	-2938.99	-2939.06	-2939.06	-2939.7152	-2939.5013	-2939.4587	-2940.3
7c-S	S	BP2'	-2939.67	-2939.01	-2938.99	-2939.06	-2939.06	-2939.7137	-2939.4979	-2939.4555	-2940.3
7c-S	S	BP3'	NA	NA	NA	NA	NA	NA	NA	NA	NA
7c-S	S	BP4'	-2939.67	-2939.01	-2938.98	-2939.06	-2939.05	-2939.7093	-2939.4914	-2939.4484	-2940.29
7c-S	S	BP5'	-2939.66	-2939	-2938.97	-2939.05	-2939.04	-2939.7023	-2939.4841	-2939.4398	-2940.28
7c-S	R	BP1	-2939.68	-2939.02	-2938.99	-2939.06	-2939.06	-2939.7172	-2939.5031	-2939.4608	-2940.3
7c-S	R	BP2	-2939.68	-2939.01	-2938.99	-2939.06	-2939.06	-2939.7164	-2939.5008	-2939.4585	-2940.3
7c-S	R	BP3	-2939.67	-2939.01	-2938.98	-2939.06	-2939.05	-2939.708	-2939.4908	-2939.4492	-2940.29
7c-S	R	BP4	NA	NA	NA	NA	NA	NA	NA	NA	NA
7c-S	R	BP5	-2939.67	-2939.01	-2938.98	-2939.06	-2939.05	-2939.7104	-2939.494	-2939.4522	-2940.29
7c-S	R	BP1'	-2939.68	-2939.01	-2938.99	-2939.06	-2939.06	-2939.7159	-2939.5007	-2939.4577	-2940.3
7c-S	R	BP2'	-2939.68	-2939.02	-2938.99	-2939.07	-2939.06	-2939.718	-2939.5024	-2939.4599	-2940.3
7c-S	R	BP3'	NA	NA	NA	NA	NA	NA	NA	NA	NA
7c-S	R	BP4'	-2939.67	-2939.01	-2938.98	-2939.06	-2939.05	-2939.7089	-2939.4912	-2939.4479	-2940.29
7c-S	R	BP5'	-2939.67	-2939.01	-2938.98	-2939.05	-2939.05	-2939.7075	-2939.4886	-2939.4453	-2940.29
8-R	S	BP1	-2897.968054	-2897.353724	-2897.424428	-2897.420309	-2898.009091	-2897.827207	-2897.783662	-2898.572728	-2897.915656
8-R	S	BP2	-2897.972318	-2897.357931	-2897.427185	-2897.423719	-2898.011992	-2897.831099	-2897.788850	-2898.577587	-2897.917283
8-R	S	BP3	-2897.964582	-2897.349911	-2897.418997	-2897.415600	-2898.005389	-2897.822484	-2897.779349	-2898.568931	-2897.907128
8-R	S	BP4	-2897.961765	-2897.347004	-2897.417238	-2897.413325	-2898.003501	-2897.818759	-2897.774445	-2898.564469	-2897.903235
8-R	S	BP5	-2897.965013	-2897.350340	-2897.419923	-2897.416423	-2898.005539	-2897.821348	-2897.778465	-2898.569164	-2897.909952
8-R	S	BP1'	-2897.971052	-2897.356409	-2897.426201	-2897.422469	-2898.011634	-2897.830084	-2897.786920	-2898.576050	-2897.918239
8-R	S	BP2'	-2897.972504	-2897.357968	-2897.427656	-2897.424091	-2898.012905	-2897.829051	-2897.786175	-2898.576533	-2897.915150
8-R	S	BP3'	NA	NA	NA	NA	NA	NA	NA	NA	NA
8-R	S	BP4'	-2897.958254	-2897.343680	-2897.414194	-2897.410199	-2898.000055	-2897.813368	-2897.769084	-2898.561225	-2897.896553
8-R	S	BP5'	-2897.961968	-2897.347222	-2897.416942	-2897.413175	-2898.004018	-2897.819353	-2897.774859	-2898.565942	-2897.904185
8-R	R	BP1	-2897.967553	-2897.353119	-2897.424048	-2897.419780	-2898.009255	-2897.827834	-2897.783573	-2898.572353	-2897.914572
8-R	R	BP2	-2897.970042	-2897.355733	-2897.425536	-2897.421794	-2898.010197	-2897.827976	-2897.785249	-2898.574305	-2897.911637
8-R	R	BP3	-2897.971488	-2897.356550	-2897.425819	-2897.422399	-2898.011695	-2897.828553	-2897.786052	-2898.575959	-2897.915777
8-R	R	BP4	-2897.965060	-2897.350414	-2897.420594	-2897.416685	-2898.006120	-2897.822754	-2897.779195	-2898.568996	-2897.909638
8-R	R	BP5	-2897.959168	-2897.344662	-2897.414906	-2897.411088	-2898.000650	-2897.813878	-2897.770039	-2898.562389	-2897.899670
8-R	R	BP1'	-2897.972141	-2897.357679	-2897.428055	-2897.424050	-2898.012836	-2897.832185	-2897.788984	-2898.577670	-2897.919933
8-R	R	BP2'	-2897.968807	-2897.354040	-2897.424135	-2897.420327	-2898.009322	-2897.825134	-2897.782105	-2898.572515	-2897.908757
8-R	R	BP3'	-2897.965932	-2897.350953	-2897.419686	-2897.416470	-2898.006793	-2897.821450	-2897.778177	-2898.568813	-2897.909530
8-R	R	BP4'	-2897.962162	-2897.347139	-2897.416904	-2897.413233	-2898.003565	-2897.817627	-2897.773684	-2898.564398	-2897.904562
8-R	R	BP5'	-2897.950791	-2897.335821	-2897.405938	-2897.402201	-2897.992786	-2897.804542	-2897.759967	-2898.551492	-2897.890874
8-S	S	BP1	-2897.97	-2897.38	-2897.35	-2897.42	-2897.42	-2939.7168	-2939.5033	-2939.4608	-2940.3
8-S	S	BP2	-2897.97	-2897.38	-2897.36	-2897.43	-2897.42	-2939.7116	-2939.4937	-2939.4514	-2940.29
8-S	S	BP3	-2897.97	-2897.38	-2897.36	-2897.43	-2897.42	-2939.7157	-2939.4984	-2939.4571	-2940.3
8-S	S	BP4	-2897.96	-2897.37	-2897.35	-2897.42	-2897.42	-2939.7098	-2939.492	-2939.4492	-2940.29
8-S	S	BP5	-2897.96	-2897.37	-2897.34	-2897.42	-2897.41	-2939.7043	-2939.4842	-2939.4418	-2940.28
8-S	S	BP1'	-2897.97	-2897.38	-2897.36	-2897.43	-2897.42	-2939.7152	-2939.5013	-2939.4587	-2940.3
8-S	S	BP2'	-2897.97	-2897.38	-2897.35	-2897.42	-2897.42	-2939.7137	-2939.4979	-2939.4555	-2940.3
8-S	S	BP3'	NA	NA	NA	NA	NA	NA	NA	NA	NA
8-S	S	BP4'	-2897.96	-2897.37	-2897.35	-2897.41	-2897.41	-2939.7093	-2939.4914	-2939.4484	-2940.29
8-S	S	BP5'	-2897.95	-2897.36	-2897.34	-2897.41	-2897.4	-2939.7023	-2939.4841	-2939.4398	-2940.28
8-S	R	BP1	-2897.97	-2897.38	-2897.35	-2897.42	-2897.42	-2939.7172	-2939.5031	-2939.4608	-2940.3
8-S	R	BP2	-2897.97	-2897.38	-2897.36	-2897.43	-2897.42	-2939.7164	-2939.5008	-2939.4585	-2940.3
8-S	R	BP3	-2897.96	-2897.37	-2897.35	-2897.42	-2897.42	-2939.708	-2939.4908	-2939.4492	-2940.29
8-S	R	BP4	-2897.96	-2897.37	-2897.35	-2897.42	-2897.41	NA	NA	NA	NA
8-S	R	BP5	-2897.96	-2897.37	-2897.35	-2897.42	-2897.42	-2939.7104	-2939.494	-2939.4522	-2940.29
8-S	R	BP1'	-2897.97	-2897.38	-2897.36	-2897.43	-2897.42	-2939.7159	-2939.5007	-2939.4577	-2940.3
8-S	R	BP2'	-2897.97	-2897.38	-2897.36	-2897.43	-2897.42	-2939.718	-2939.5024	-2939.4599	-2940.3
8-S	R	BP3'	NA	NA	NA	NA	NA	NA	NA	NA	NA
8-S	R	BP4'	-2897.96	-2897.37	-2897.34	-2897.41	-2897.41	-2939.7089	-2939.4912	-2939.4479	-2940.29
8-S	R	BP5'	-2897.96	-2897.37	-2897.35	-2897.42	-2897.41	-2939.7075	-2939.4886	-2939.4453	-2940.29
